total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
187,19,Wednesday,January,19,2011,REG,1,Penn State,,Big Ten,1,63,62,0,1,W,1,Mackey Arena,Indiana,IN
186,18,Sunday,January,16,2011,REG,2,West Virginia,,Big East,0,64,68,0,-4,L,2,WVU Coliseum,West Virginia,WV
185,17,Thursday,January,13,2011,REG,2,Minnesota,,Big Ten,0,67,70,0,-3,L,1,Williams Arena,Minnesota,MN
184,16,Sunday,January,9,2011,REG,1,Iowa,,Big Ten,1,75,52,0,23,W,10,Mackey Arena,Indiana,IN
183,15,Wednesday,January,5,2011,REG,2,Penn State,,Big Ten,1,83,68,0,15,W,9,Bryce Jordan Center,Pennsylvania,PA
182,14,Friday,December,31,2010,REG,1,Northwestern,,Big Ten,1,82,69,0,13,W,8,Mackey Arena,Indiana,IN
181,13,Tuesday,December,28,2010,REG,2,Michigan,,Big Ten,1,80,57,0,23,W,7,Crisler Arena,Michigan,MI
180,12,Tuesday,December,21,2010,REG,1,Purdue-Fort Wayne,,Summit,1,77,52,0,25,W,6,Mackey Arena,Indiana,IN
179,11,Saturday,December,18,2010,REG,3,Indiana State,,MVC,1,65,52,0,13,W,5,Gainbridge Fieldhouse,Indiana,IN
178,10,Saturday,December,11,2010,REG,1,North Florida,,A-Sun,1,77,57,0,20,W,4,Mackey Arena,Indiana,IN
177,9,Tuesday,December,7,2010,REG,2,Valparaiso,,Horizon,1,76,58,0,18,W,3,Athletics-Recreation Center,Indiana,IN
176,8,Saturday,December,4,2010,REG,1,Alabama,,SEC,1,66,47,0,19,W,2,Mackey Arena,Indiana,IN
175,7,Wednesday,December,1,2010,REG,2,Virginia Tech,,ACC,1,58,55,1,3,W,1,Cassell Coliseum,Virginia,VA
174,6,Saturday,November,27,2010,REG,3,Richmond,,A-10,0,54,65,0,-11,L,1,Sears Centre,Illinois,IL
173,5,Friday,November,26,2010,REG,3,Southern Illinois,,MVC,1,79,60,0,19,W,5,Sears Centre,Illinois,IL
172,4,Tuesday,November,23,2010,REG,1,Austin Peay,,OVC,1,87,65,0,22,W,4,Mackey Arena,Indiana,IN
171,3,Sunday,November,21,2010,REG,1,Oakland,,Summit,1,82,67,0,15,W,3,Mackey Arena,Indiana,IN
170,2,Wednesday,November,17,2010,REG,1,Alcorn State,,SWAC,1,103,48,0,55,W,2,Mackey Arena,Indiana,IN
169,1,Sunday,November,14,2010,REG,1,Howard,,MEAC,1,76,40,0,36,W,1,Mackey Arena,Indiana,IN
168,35,Friday,March,26,2010,NCAA,3,Duke,3,ACC,0,57,70,0,-13,L,1,Reliant Stadium,Texas,TX
167,34,Sunday,March,21,2010,NCAA,3,Texas A&M,23,Big 12,1,63,61,1,2,W,2,Spokane Veterans Memorial Arena,Washington,WA
166,33,Friday,March,19,2010,NCAA,3,Siena,,MAAC,1,72,64,0,8,W,1,Spokane Veterans Memorial Arena,Washington,WA
165,32,Saturday,March,13,2010,CTOURN,3,Minnesota,,Big Ten,0,42,69,0,-27,L,1,Gainbridge Fieldhouse,Indiana,IN
164,31,Friday,March,12,2010,CTOURN,3,Northwestern,,Big Ten,1,69,61,0,8,W,3,Gainbridge Fieldhouse,Indiana,IN
163,30,Saturday,March,6,2010,REG,2,Penn State,,Big Ten,1,64,60,0,4,W,2,Bryce Jordan Center,Pennsylvania,PA
162,29,Wednesday,March,3,2010,REG,1,Indiana,,Big Ten,1,74,55,0,19,W,1,Mackey Arena,Indiana,IN
161,28,Sunday,February,28,2010,REG,1,Michigan State,14,Big Ten,0,44,53,0,-9,L,1,Mackey Arena,Indiana,IN
160,27,Wednesday,February,24,2010,REG,2,Minnesota,,Big Ten,1,59,58,0,1,W,10,Williams Arena,Minnesota,MN
159,26,Saturday,February,20,2010,REG,1,Illinois,,Big Ten,1,75,65,0,10,W,9,Mackey Arena,Indiana,IN
158,25,Wednesday,February,17,2010,REG,2,Ohio State,9,Big Ten,1,60,57,0,3,W,8,Value City Arena,Ohio,OH
157,24,Saturday,February,13,2010,REG,1,Iowa,,Big Ten,1,63,40,0,23,W,7,Mackey Arena,Indiana,IN
156,23,Tuesday,February,9,2010,REG,2,Michigan State,10,Big Ten,1,76,64,0,12,W,6,Breslin Student Events Center,Michigan,MI
155,22,Thursday,February,4,2010,REG,2,Indiana,,Big Ten,1,78,75,0,3,W,5,Assembly Hall,Indiana,IN
154,21,Sunday,January,31,2010,REG,1,Penn State,,Big Ten,1,66,46,0,20,W,4,Mackey Arena,Indiana,IN
153,20,Thursday,January,28,2010,REG,1,Wisconsin,16,Big Ten,1,60,57,0,3,W,3,Mackey Arena,Indiana,IN
152,19,Saturday,January,23,2010,REG,1,Michigan,,Big Ten,1,69,59,0,10,W,2,Mackey Arena,Indiana,IN
151,18,Tuesday,January,19,2010,REG,2,Illinois,,Big Ten,1,84,78,0,6,W,1,State Farm Center,Illinois,IL
150,17,Saturday,January,16,2010,REG,2,Northwestern,,Big Ten,0,64,72,0,-8,L,3,Welsh-Ryan Arena,Illinois,IL
149,16,Tuesday,January,12,2010,REG,1,Ohio State,,Big Ten,0,66,70,0,-4,L,2,Mackey Arena,Indiana,IN
148,15,Saturday,January,9,2010,REG,2,Wisconsin,17,Big Ten,0,66,73,0,-7,L,1,Kohl Center,Wisconsin,WI
147,14,Tuesday,January,5,2010,REG,1,Minnesota,,Big Ten,1,79,60,0,19,W,14,Mackey Arena,Indiana,IN
146,13,Friday,January,1,2010,REG,1,West Virginia,6,Big East,1,77,62,0,15,W,13,Mackey Arena,Indiana,IN
145,12,Tuesday,December,29,2009,REG,2,Iowa,,Big Ten,1,67,56,0,11,W,12,Carver-Hawkeye Arena,Iowa,IA
144,11,Tuesday,December,22,2009,REG,1,Southern Illinois-Edwardsville,,Ind,1,90,63,0,27,W,11,Mackey Arena,Indiana,IN
143,10,Saturday,December,19,2009,REG,3,Ball State,,MAC,1,69,49,0,20,W,10,Gainbridge Fieldhouse,Indiana,IN
142,9,Saturday,December,12,2009,REG,2,Alabama,,SEC,1,73,65,0,8,W,9,Coleman Coliseum,Michigan,MI
141,8,Wednesday,December,9,2009,REG,1,Valparaiso,,Horizon,1,86,62,0,24,W,8,Mackey Arena,Indiana,IN
140,7,Saturday,December,5,2009,REG,1,Buffalo,,MAC,1,101,65,0,36,W,7,Mackey Arena,Indiana,IN
